City,Description,Temperature (F),Feels Like (F),Minimum Temp (F),Maximum Temp (F),Pressure,Humidity,Wind Speed,Time of Record,Sunrise (Local Time),Sunset (Local Time)
New York,overcast clouds,35.87000000000006,24.872000000000035,33.58399999999999,37.4,1019,58,9.26,2025-02-01 10:55:19,2025-02-01 07:05:50,2025-02-01 17:13:22
London,overcast clouds,42.02600000000009,37.63399999999999,40.91000000000008,42.908,1027,84,3.09,2025-02-01 15:52:43,2025-02-01 07:38:45,2025-02-01 16:49:20
Paris,clear sky,44.22200000000004,39.2,42.22400000000001,45.104000000000056,1027,66,4.12,2025-02-01 16:58:18,2025-02-01 08:20:43,2025-02-01 17:47:35
Tokyo,moderate rain,47.228000000000065,43.898000000000025,42.62000000000006,48.61400000000003,1018,57,3.09,2025-02-02 01:03:14,2025-02-02 06:40:49,2025-02-02 17:08:54
Mumbai,haze,75.18200000000002,75.41600000000001,75.18200000000002,75.18200000000002,1013,64,1.54,2025-02-01 21:27:57,2025-02-01 07:12:47,2025-02-01 18:31:28
Beijing,broken clouds,28.291999999999994,28.291999999999994,28.291999999999994,28.291999999999994,1025,58,0.09,2025-02-02 00:03:15,2025-02-02 07:22:05,2025-02-02 17:34:01
Sydney,clear sky,67.58600000000007,67.892,64.88600000000008,69.63800000000005,1020,82,1.68,2025-02-02 03:00:12,2025-02-02 06:17:31,2025-02-02 20:00:05
Berlin,overcast clouds,40.082000000000015,36.03200000000002,39.092,41.99000000000002,1031,86,2.57,2025-02-01 17:03:15,2025-02-01 07:48:04,2025-02-01 16:51:43
Los Angeles,clear sky,49.78399999999999,49.04600000000005,45.48200000000001,53.20400000000005,1021,81,1.54,2025-02-01 07:58:40,2025-02-01 06:49:51,2025-02-01 17:23:17
Rio de Janeiro,broken clouds,87.458,93.57800000000006,86.97200000000004,89.54600000000005,1008,59,3.09,2025-02-01 13:01:45,2025-02-01 05:32:53,2025-02-01 18:39:54
Moscow,overcast clouds,39.668000000000085,32.93600000000007,37.832000000000015,39.668000000000085,1016,74,4.78,2025-02-01 19:00:55,2025-02-01 08:23:29,2025-02-01 17:02:39
Dubai,clear sky,71.52800000000008,70.68200000000002,70.05200000000008,71.52800000000008,1018,49,4.63,2025-02-01 20:00:03,2025-02-01 07:01:47,2025-02-01 18:02:49
Toronto,clear sky,10.18399999999999,-2.4159999999999613,8.708000000000002,11.120000000000061,1033,58,7.2,2025-02-01 10:52:40,2025-02-01 07:34:07,2025-02-01 17:28:22
Singapore,broken clouds,78.33200000000002,79.484,77.9,78.9260000000001,1010,77,4.12,2025-02-02 00:00:02,2025-02-02 07:16:20,2025-02-02 19:20:09
Mexico City,few clouds,60.116000000000014,59.12600000000009,55.32800000000007,60.116000000000014,1021,70,3.09,2025-02-01 09:52:40,2025-02-01 07:11:06,2025-02-01 18:29:05
Johannesburg,broken clouds,77.9,78.0260000000001,77.16200000000006,79.808,1007,56,1.14,2025-02-01 18:00:03,2025-02-01 05:42:40,2025-02-01 19:00:02
Seoul,mist,26.168000000000085,19.508000000000003,26.168000000000085,26.204000000000054,1021,86,2.57,2025-02-02 00:54:07,2025-02-02 07:35:09,2025-02-02 17:56:17
Hong Kong,scattered clouds,68.684,69.29600000000005,66.93800000000005,69.85400000000006,1013,86,1.34,2025-02-02 00:00:01,2025-02-02 07:01:45,2025-02-02 18:12:16
Bangkok,scattered clouds,82.70600000000003,85.4600000000001,78.69200000000001,82.92200000000004,1009,60,3.97,2025-02-01 22:51:59,2025-02-01 06:45:09,2025-02-01 18:17:43
Rome,clear sky,51.98000000000005,51.242,50.486000000000075,53.33000000000004,1024,93,1.34,2025-02-01 10:56:52,2025-02-01 07:37:57,2025-02-01 18:10:31
Madrid,few clouds,54.733999999999995,52.358000000000004,53.34800000000003,56.62400000000001,1019,52,2.57,2025-02-01 16:59:32,2025-02-01 08:24:10,2025-02-01 18:32:32
Buenos Aires,clear sky,86.70200000000008,87.24199999999999,83.984,89.78000000000004,1010,44,9.39,2025-02-01 12:53:07,2025-02-01 06:14:01,2025-02-01 20:00:08
Jakarta,scattered clouds,79.17800000000007,79.17800000000007,78.29600000000005,82.32800000000006,1009,84,1.54,2025-02-01 22:50:01,2025-02-01 05:54:56,2025-02-01 18:17:19
Istanbul,mist,49.424000000000014,47.78600000000007,49.424000000000014,49.424000000000014,1026,87,2.06,2025-02-01 18:59:51,2025-02-01 08:14:50,2025-02-01 18:20:22
Cairo,broken clouds,66.95600000000003,65.93000000000004,66.95600000000003,68.41400000000004,1022,55,4.63,2025-02-01 18:02:02,2025-02-01 06:45:25,2025-02-01 17:31:39
Lagos,clear sky,88.26800000000009,93.92000000000007,88.26800000000009,88.26800000000009,1007,56,4.19,2025-02-01 16:59:04,2025-02-01 07:03:09,2025-02-01 18:53:56
Lima,fog,71.85200000000009,72.41000000000008,71.85200000000009,71.85200000000009,1013,78,2.57,2025-02-01 10:58:59,2025-02-01 06:03:11,2025-02-01 18:40:12
Chicago,scattered clouds,29.804000000000052,24.494000000000074,29.012000000000057,31.172000000000036,1030,73,2.24,2025-02-01 09:54:26,2025-02-01 07:02:49,2025-02-01 17:05:32
Kuala Lumpur,few clouds,81.95,87.22400000000002,81.95,81.95,1010,74,1.54,2025-02-01 23:58:47,2025-02-02 07:27:14,2025-02-02 19:26:34
Melbourne,broken clouds,69.40400000000005,70.142,66.05600000000004,71.06000000000009,1021,87,1.34,2025-02-01 11:00:06,2025-02-01 07:09:32,2025-02-01 18:02:29
